INFO:     Started server process [93406]
INFO:     Waiting for application startup.
Starting MCP Registry vdev
[108/396] Imported server: io.github.omar-v2/mcp-ical
[109/396] Imported server: io.github.peakmojo/applescript-mcp
[110/396] Imported server: io.github.diegobit/aranet4-mcp-server
[111/396] Imported server: io.github.ravenwits/mcp-server-arangodb
[112/396] Imported server: io.github.vishalmysore/choturobo
[113/396] Imported server: io.github.sooperset/mcp-atlassian
[114/396] Imported server: io.github.co-browser/attestable-mcp-server
[115/396] Imported server: io.github.rishikavikondala/mcp-server-aws
[116/396] Imported server: io.github.lishenxydlgzs/aws-athena-mcp
[117/396] Imported server: io.github.aarora79/aws-cost-explorer-mcp-server
[118/396] Imported server: io.github.baryhuang/mcp-server-aws-resources-python
[119/396] Imported server: io.github.aws-samples/sample-mcp-server-s3
[120/396] Imported server: io.github.pab1it0/adx-mcp-server
[121/396] Imported server: io.github.vortiago/mcp-azure-devops
[122/396] Imported server: io.github.baidubce/app-builder
[123/396] Imported server: io.github.magnetai/mcp-free-usdc-transfer
[124/396] Imported server: io.github.basicmachines-co/basic-memory
[125/396] Imported server: io.github.lucashild/mcp-server-bigquery
[126/396] Imported server: io.github.ergut/mcp-bigquery-server
[127/396] Imported server: io.github.leehanchung/bing-search-mcp
[128/396] Imported server: io.github.lloydzhou/bitable-mcp
[129/396] Imported server: io.github.ahujasid/blender-mcp
[130/396] Imported server: io.github.agree-able/room-mcp
[131/396] Imported server: io.github.co-browser/browser-use-mcp-server
[132/396] Imported server: io.github.termix-official/bsc-mcp
[133/396] Imported server: io.github.githejie/mcp-server-calculator
[134/396] Imported server: io.github.lenwood/cfbd-mcp-server
[135/396] Imported server: io.github.ai-ql/chat-mcp
[136/396] Imported server: io.github.mcpso/mcp-server-chatsum
[137/396] Imported server: io.github.pab1it0/chess-mcp
[138/396] Imported server: io.github.privetin/chroma
[139/396] Imported server: io.github.zilongxue/claude-post
[140/396] Imported server: io.github.taazkareem/clickup-mcp-server
[141/396] Imported server: io.github.felores/cloudinary-mcp-server
[142/396] Imported server: io.github.bazinga012/mcp_code_executor
[143/396] Imported server: io.github.kocierik/consul-mcp-server
[144/396] Imported server: io.github.topoteretes/cognee
[145/396] Imported server: io.github.longmans/coin_api_mcp
[146/396] Imported server: io.github.shinzo-labs/coinmarketcap-mcp
[147/396] Imported server: io.github.baryhuang/mcp-remote-macos-use
[148/396] Imported server: io.github.ivo-toby/contentful-mcp
[149/396] Imported server: io.github.kukapay/crypto-feargreed-mcp
[150/396] Imported server: io.github.kukapay/crypto-indicators-mcp
[151/396] Imported server: io.github.kukapay/crypto-sentiment-mcp
[152/396] Imported server: io.github.kukapay/cryptopanic-mcp-server
[153/396] Imported server: io.github.dappierai/dappier-mcp
[154/396] Imported server: io.github.geli2001/datadog-mcp-server
[155/396] Imported server: io.github.reading-plus-ai/mcp-server-data-exploration
[156/396] Imported server: io.github.samuelgursky/davinci-resolve-mcp
[157/396] Imported server: io.github.privetin/dataset-viewer
[158/396] Imported server: io.github.snagasuri/deebo-prototype
[159/396] Imported server: io.github.reading-plus-ai/mcp-server-deep-research
[160/396] Imported server: io.github.dmontgomery40/deepseek-mcp-server
[161/396] Imported server: io.github.66julienmartin/mcp-server-deepseek_r1
[162/396] Imported server: io.github.ruixingshi/deepseek-thinker-mcp
[163/396] Imported server: io.github.descope-sample-apps/descope-mcp-server
[164/396] Imported server: io.github.kpsunil97/devrev-mcp-server
[165/396] Imported server: io.github.christianhinge/dicom-mcp
[166/396] Imported server: io.github.yanxingliu/dify-mcp-server
[167/396] Imported server: io.github.v-3/discordmcp
[168/396] Imported server: io.github.saseq/discord-mcp
[169/396] Imported server: io.github.ashdevfr/discourse-mcp-server
[170/396] Imported server: io.github.ckreiling/mcp-server-docker
[171/396] Imported server: io.github.szeider/mcp-dblp
[172/396] Imported server: io.github.omedia/mcp-server-drupal
[173/396] Imported server: io.github.kukapay/dune-analytics-mcp
[174/396] Imported server: io.github.tencentedgeone/edgeone-pages-mcp
[175/396] Imported server: io.github.edwin-finance/edwin
[176/396] Imported server: io.github.mamertofabian/elevenlabs-mcp-server
[177/396] Imported server: io.github.shy2593666979/mcp-server-email
[178/396] Imported server: io.github.whataboutyou-ai/eunomia-mcp-server
[179/396] Imported server: io.github.mcpdotdirect/evm-mcp-server
[180/396] Imported server: io.github.mamertofabian/mcp-everything-search
[181/396] Imported server: io.github.haris-musa/excel-mcp-server
[182/396] Imported server: io.github.rishijatia/fantasy-pl-mcp
[183/396] Imported server: io.github.fastnai/mcp-fastn
[184/396] Imported server: io.github.stefanoamorelli/fred-mcp-server
[185/396] Imported server: io.github.zcaceres/fetch-mcp
[186/396] Imported server: io.github.glips/figma-context-mcp
[187/396] Imported server: io.github.gannonh/firebase-mcp
[188/396] Imported server: io.github.vrknetha/mcp-server-firecrawl
[189/396] Imported server: io.github.sunsetcoder/flightradar24-mcp-server
